condition,participant,Number of blinks,Blinks per minute,Average blink length (ms),Median blink length (ms)
P,1,82,8.20001363388878,339.8947243930363,149.605250030756
C,2,164,16.400755806963947,691.3647658508726,179.8277499973774
P,3,85,8.500359956242503,236.30340352759643,119.49970000982285
C,4,85,8.639640456788882,213.71157765107995,150.7044000029564
P,5,109,10.900500378385383,150.60840091902182,147.7020999789238
C,6,98,9.80197509144675,304.009295916679,152.36300000548363
P,7,114,11.400000161499621,159.32912718988302,148.97615000605583
C,8,115,11.500561438241977,218.1480539130128,178.78280001878738
P,9,16,1.600076083084386,172.5296562500298,120.63489997386932
C,10,53,5.300255994414048,716.7659830226088,150.7969000339508
P,11,55,5.500265768258551,141.1564109119502,119.15420001745224
C,12,101,10.100490973081488,210.8948366376433,123.00660002231598
P,13,45,4.500007245761945,254.3777666621738,149.5415000319481
C,14,73,7.300360379856698,475.1062397260302,152.7261999999173
P,15,177,17.70084649578141,213.5959474576169,121.55720000015572
C,16,89,8.900016690497969,214.8612426965644,120.47729999944568
P,17,22,2.2001048720322354,753.9891499985348,132.4793500006199
C,18,70,7.000293348459484,679.3594185714277,423.52250000007916
P,19,76,7.600382398039598,481.9786934210294,148.9836499998346
C,20,180,18.00086891094279,156.53365888886879,148.0928000002168
P,21,79,7.900384372133823,313.86835822783695,147.6985999941826
C,22,94,9.400471908389958,470.62266383050604,150.90290000289679
