Participant,Conditon,SA1,SA2,SA3,SA4,SA5,SA6,TLX1,TLX2,TLX3,TLX4,TLX5,ACC1,ACC2,ACC3,ACC4,ACC5,ACC6,ACC7,ACC8,ACC9
1,P,3,5,1,3,4,3,30,80,55,55,55,2,2,2,2,0,2,2,2,2
2,C,2,2,2,4,4,4,55,55,55,65,45,2,1,1,1,1,1,1,1,-1
3,P,3,4,2,4,4,4,65,30,65,75,25,1,1,1,0,1,1,1,1,0
4,C,3,5,2,4,5,4,10,25,75,50,5,1,2,2,2,1,2,2,1,0
5,P,3,5,4,5,5,5,15,5,40,30,15,2,2,1,1,2,2,2,2,0
6,C,5,5,1,5,3,5,30,50,70,50,5,2,0,1,0,2,0,1,1,0
7,P,2,3,4,2,4,4,30,70,40,75,55,1,1,2,2,2,1,2,2,0
8,C,3,5,2,5,4,5,40,40,90,55,5,2,2,2,1,1,2,2,2,0
9,P,2,4,4,5,4,5,35,65,40,60,75,2,2,1,1,2,-1,2,1,-1
10,C,4,5,2,3,3,2,40,5,50,30,5,1,1,1,1,0,1,1,1,1
11,P,3,5,4,5,5,5,30,60,80,35,5,2,2,2,2,2,2,2,2,2
12,C,5,5,2,5,5,5,25,30,55,50,10,2,2,2,2,1,1,2,2,2
13,P,3,4,3,4,5,5,55,60,50,70,60,2,2,2,2,2,2,2,2,2
14,C,2,1,4,4,5,5,50,55,40,50,5,2,2,2,2,2,2,2,2,2
15,P,2,5,3,5,5,5,5,5,65,65,5,2,2,2,2,2,2,2,2,1
16,C,2,5,4,4,4,4,50,55,50,55,5,2,2,2,2,2,2,2,2,2
17,P,3,5,4,4,4,5,60,65,85,75,5,2,1,1,1,1,2,2,2,0
18,C,5,4,2,5,4,4,50,60,65,50,5,2,2,2,2,2,2,2,2,2
19,P,2,1,2,2,5,5,15,40,60,55,5,2,1,2,1,1,2,2,0,1
20,C,5,5,1,5,5,5,5,5,50,20,5,2,1,2,2,2,2,2,2,2
21,P,3,1,2,2,3,3,25,55,90,85,5,2,2,2,2,2,2,2,2,2
22,C,5,5,3,5,3,5,15,15,50,50,5,2,0,1,1,1,1,-1,1,2
