Time (s),Total Distance (per second),Average Speed (units/s)
1,1658.4480637285378,1608.4294436818132
2,1975.5797741848342,1731.3775164868393
3,1566.1833845906513,1134.2220147650532
4,288.65236278360794,289.5119958054805
5,1590.3263898350215,1374.0450122651437
6,1409.7080902679616,1437.8233892614876
7,1815.492292112826,1691.7068445057091
8,637.4244582571683,631.6526724739791
9,246.75363513307764,246.98074936235562
10,285.43938077195946,278.241878589942
11,267.82162029859956,268.1185697099544
12,1188.453158854123,1196.3191252919219
13,276.55387330018146,277.2631218230954
14,1703.2943762673171,1188.403809980675
15,160.70516338632984,161.11907984711186
16,524.687309387463,525.9138029128894
17,1027.8921308422898,290.89340388220796
18,1254.0581823041073,1856.44535179014
19,1040.4326681393222,543.8984271205602
20,669.5607248667543,1838.412401985556
21,5726.682492144253,5776.758728924136
22,367.1157734453597,713.5324119116696
23,1843.293146301019,2053.5306792023302
24,1955.1696530498382,1961.051093198616
25,1631.3157284821511,1465.956303761319
26,1911.6145705837555,1506.5258846196832
27,1483.7375047399337,1470.4465695454153
28,1234.41326375217,1226.0012167929303
29,2469.694876283376,4129.168043642398
30,1386.38659891167,1751.2580920923112
31,725.6346675402589,729.0240894722428
32,590.7374288984058,588.9558953882201
33,330.3805432522824,331.07838376243484
34,346.81935860845215,348.76392984621634
35,1277.0922501679058,859.5434966938968
36,1268.7942103442679,1372.9880801417462
44,750.7710818216614,372.86689976946667
45,1183.1296928835677,1889.662909453446
46,819.8730925130128,825.2793289938668
47,1375.7964994671006,1180.9304314004382
48,1292.0694806354854,1186.8499385854248
49,868.3657687756556,861.8327909882156
50,1297.5804287412902,1298.4864113186827
51,769.9711242729383,779.8390524699935
52,1841.6077276371784,1442.2535253279011
53,1025.3449267938668,1023.9110087007559
54,906.1235556601399,909.6231891681372
55,1129.0517718850901,1379.460171709277
56,688.8654387114511,685.5785051138827
57,1581.1397167371622,1296.5125239126544
58,1052.5743608416935,1729.5835009813545
59,1679.109083847696,1604.7582362930273
60,853.0018338713074,859.09711463503
61,1885.6486035291675,1309.2775317995538
62,1290.0307176018937,885.3914530989539
63,1195.827577988299,1563.5944569816936
64,2079.0657506504713,2090.4272874658436
65,1456.83037103674,1444.5630195009085
66,794.5181867019328,797.9393147908165
67,1566.3636647292478,1568.133237173947
68,2568.112471711692,1915.9453333985539
69,1843.81105388412,1855.996524324322
70,2319.507983353042,2335.8649732407384
71,2012.0157129221523,1875.0084863618508
72,1300.3514227320038,1342.8648489412546
73,1832.2575292141169,1800.9572965418715
74,896.6350840778482,898.4698844732611
75,1876.8424748394607,1617.0246558630581
76,2006.7522473801514,2025.7697109315304
77,1329.1637438471814,1323.7374996100796
78,1266.9750567263923,1181.3977271838328
79,1106.9187247443301,896.4999473106462
80,947.0839972568028,947.6099304765011
81,1905.6259989413247,15281.90225242534
82,1171.530676656846,1251.0535009465436
83,341.3100069692927,40898.907295014826
84,1764.6717659747956,34628.05264031925
85,2136.847253625373,2141.5377929172173
86,662.5630063038702,708.4188110945357
87,549.6504610722278,609.4451972488607
88,485.12909780566656,2914.398780725888
89,349.0434488112755,1452.0359922596524
90,1305.7929665538622,1975.246989116381
91,1932.541298869377,3943.9519791423345
92,1625.4605915175355,1517.26604027593
93,1067.5005514622878,3108.036973053328
94,797.2714669813485,2561.1650056142194
95,1386.8284206121975,2198.3638622526305
96,2043.5238603068285,1918.6995841559105
97,372.07959674699623,365.21571558373955
98,1297.3985065970205,1336.6126149173351
99,1733.1722675656447,1735.57771452596
100,851.8212144486871,855.0868130631518
101,1205.1862349203789,1205.3349497861695
102,979.343004022809,274.97422288701
103,589.3666045165842,614.6235827725924
104,544.294722185235,547.4733992486666
105,617.4186490260013,624.4791880706925
106,876.7285931326691,886.4535767673266
107,456.57249564937746,446.64881575102453
108,303.9838097513166,305.06612874555555
109,206.48365945588233,207.99899863579253
110,1405.5019128878134,845.98595625595
111,853.7560763008235,774.3586567797606
112,769.325875686124,774.3483738077789
113,1159.0210686432497,1147.7021045553447
114,543.3026922267611,542.9454636579167
115,988.5370013149559,986.4855955923365
116,845.8848394315864,829.9136117527108
117,1431.7723772931774,1397.323483348117
118,1678.1887751501192,1665.8910743173046
