File,Avg_Duration_First_Minute,Avg_Duration_Last_Minute,median_Duration_First_Minute,median_Duration_Last_Minute,Time_Difference
P1,241.79682435211137,388.94865037356084,211.73430001735687,242.24110001325607,147.15182602144947
P10,253.74780904270187,289.70460340787065,211.709399998188,241.58399999141693,35.956794365168776
P11,292.9540449421059,263.2470194880779,241.82084998488426,211.8033999800682,-29.707025454027985
P12,274.9411122902146,297.49894390200694,241.51710003614065,241.9462000131607,22.557831611792324
P13,263.32360000231023,243.84375925764206,211.35529997944923,211.48170000314715,-19.479840744668167
P14,382.3274992366441,2767.5359823529143,272.23989999992773,272.07499999995343,2385.20848311627
P15,269.8250174418599,318.88522236842635,211.3771500000712,241.30099999997765,49.06020492656643
P16,297.34490581395545,275.321516455717,242.15629999991506,244.59814999997616,-22.023389358238433
P17,347.9531358621241,318.31281146540005,241.49280001222724,241.67890000343323,-29.640324396724054
P18,275.93890769231496,279.1670709090999,238.69484999997076,207.06939999992028,3.2281632167849352
P19,316.064134567913,781.8520446429029,240.9619500001445,271.26705000014044,465.7879100749899
P2,313.8426897601191,845.6952661578472,214.12840002775192,214.0167000293732,531.8525763977282
P20,222.18828333334653,250.30951515151978,209.31589999981225,185.4719000001205,28.121231818173243
P21,251.635456830426,267.0739302470544,210.6862000077963,211.48929999768734,15.438473416628426
P22,265.061439880392,600.0345285705158,212.4974000006914,634.3619000017643,334.9730886901238
P3,328.1421980993657,329.49834722321896,241.84389999509222,211.88095000386238,1.3561491238532426
P4,273.2223401086018,420.604190697505,218.15324997901732,211.30285000801086,147.38185058890315
P5,286.8029306801882,936.0139961517774,241.64614999294008,211.53790000081062,649.2110654715892
P6,280.44871837770614,274.62057646758416,241.8076000213623,212.10749998688698,-5.828141910121985
P7,289.6421257663358,614.0709150075912,241.96299999953044,255.65865004062653,324.4287892412554
P8,266.02594677447,752.6416222204765,240.3195500075817,241.79145002365112,486.6156754460065
P9,336.63138227221316,449.7917714317861,272.54114997387114,213.5637000203133,113.16038915957296
