"","participant","condition","amount_fixations","percent_below_150ms","percent_150ms_to_900ms","percent_above_900ms","avg_duration_short","median_duration_short","avg_duration_medium","median_duration_medium","avg_duration_long","median_duration_long","SA1","SA2","SA3","SA4","SA5","SA6","TLX1","TLX2","TLX3","TLX4","TLX5","ACC1","ACC2","ACC3","ACC4","ACC5","ACC6","ACC7","ACC8","ACC9","SA1_SA2_mean","SA3_SA4_mean","SA5_SA6_mean","Usefulness","Satisfying","Number.of.saccades","Peak.saccade.velocity","Mean.velocity","Median.velocity","Standard.deviation.of.velocity","Peak.amplitude","Saccades.per.minute","Number.of.blinks","Blinks.per.minute","Average.blink.length..ms.","Median.blink.length..ms."
"1",1,"P",4943,15.3550475419786,83.916649807809,0.728302650212422,123.609632938672,120.890100002289,270.602508244542,241.473500013351,1966.7541833288,1418.5760499835,3,5,1,3,4,3,30,80,55,55,55,2,2,2,2,0,2,2,2,2,4,2,3.5,1.6,2,8103,252473.331659319,953.990402142724,323.692861571944,3130.18577226216,2019.83289038692,810.301347260985,82,8.20001363388878,339.894724393036,149.605250030756
"2",10,"C",2524,11.9255150554675,86.648177496038,1.42630744849445,123.537899336151,120.880600035191,280.795284545171,241.69090002781,1959.37107500268,1359.42574998733,4,5,2,3,3,2,40,5,50,30,5,1,1,1,1,0,1,1,1,1,4.5,2.5,2.5,0.8,1,5506,63524.7682365264,950.751821911769,202.550954674805,2987.93034377853,1892.39649359827,550.626594438561,53,5.30025599441405,716.765983022609,150.796900033951
"3",11,"P",2779,8.67218423893487,90.3922274199352,0.935588341129903,122.636913277301,120.848299980164,284.74958861446,241.745350033045,1106.95138845765,1042.18109998107,3,5,4,5,5,5,30,60,80,35,5,2,2,2,2,2,2,2,2,2,4,4.5,5,2,2,4627,730472.053073793,958.808634120615,147.589301012996,6022.97227003263,1555.9889421221,462.722358358769,55,5.50026576825855,141.15641091195,119.154200017452
"4",12,"C",2098,12.0591039084843,86.3679694947569,1.57292659675882,124.844908299184,120.875500023365,287.519024337824,241.965199977159,1220.00521818075,1057.32400000095,5,5,2,5,5,5,25,30,55,50,10,2,2,2,2,1,1,2,2,2,5,3.5,5,1.8,1.75,6444,271294.620933145,989.466040617443,257.215658770847,3704.65716916598,1971.77857691446,644.431325054823,101,10.1004909730815,210.894836637643,123.006600022316
"5",13,"P",2204,16.016333938294,83.0308529945553,0.952813067150635,124.563704817559,120.906599998474,264.106490929108,239.457999974489,1150.06409523884,1057.11390000579,3,4,3,4,5,5,55,60,50,70,60,2,2,2,2,2,2,2,2,2,3.5,3.5,5,2,2,7962,153499.732368964,1057.97371005979,305.141400724524,3108.39541354894,2639.73063663405,796.201282016813,45,4.50000724576195,254.377766662174,149.541500031948
"6",14,"C",2207,6.25283189850476,92.0706841866787,1.67648391481649,123.882952173914,120.874000000025,303.003873720474,271.790900000029,3381.00061081081,1176.06020000018,2,1,4,4,5,5,50,55,40,50,5,2,2,2,2,2,2,2,2,2,1.5,4,5,2,2,5146,1082824.49042796,1036.53926269179,194.847102718833,11762.0495142571,2328.82564920913,514.625404311542,73,7.3003603798567,475.10623972603,152.726199999917
"7",15,"P",2530,10.7509881422925,87.5494071146245,1.699604743083,124.96714485293,120.874199999962,294.536971738146,243.032899999991,1469.95475813953,1208.02660000039,2,5,3,5,5,5,5,5,65,65,5,2,2,2,2,2,2,2,2,1,3.5,4,5,1.8,2,5624,44155.8438500324,822.260841110528,217.593935695889,2449.98170641665,2296.26880996273,562.426896566523,177,17.7008464957814,213.595947457617,121.557200000156
"8",16,"C",2349,9.06768837803321,90.0808854831843,0.851426138782461,126.067918779329,120.952100000344,282.98048322308,244.774850000133,1194.87430499988,1103.46029999992,2,5,4,4,4,4,50,55,50,55,5,2,2,2,2,2,2,2,2,2,3.5,4,4,2,2,5968,42687.1185081748,787.431465873996,227.319449540316,2383.46060242134,2001.40023941292,596.801119201032,89,8.90001669049797,214.861242696564,120.477299999446
"9",17,"P",2049,5.85651537335286,92.8745729624207,1.26891166422645,124.996199166776,120.983000002801,290.171440514988,242.127500012517,1773.95020000006,1178.03020000455,3,5,4,4,4,5,60,65,85,75,5,2,1,1,1,1,2,2,2,0,4,4,4.5,1.2,1.5,4829,1183839.37716598,965.439618069597,174.411395034745,9041.48117255585,1426.74317984203,482.923019411076,22,2.20010487203224,753.989149998535,132.47935000062
"10",18,"C",4194,15.7606103958035,83.0472103004292,1.19217930376729,126.014138275345,121.132199999876,261.864665633075,238.463000000018,1713.96783600003,1223.45939999988,5,4,2,5,4,4,50,60,65,50,5,2,2,2,2,2,2,2,2,2,4.5,3.5,4,2,2,5967,546099.589137664,1018.65197024276,210.56811121545,5602.76105740588,2245.6984217696,596.725005860825,70,7.00029334845948,679.359418571428,423.522500000079
